Rent ID,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Province_id,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Rent_128,867.0,1119.0,1587.0,1681.0,1164.0,2018,Province4,centre6,Zone28,Neighbourhood62,Dwelling2
Rent_129,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone28,Neighbourhood63,Dwelling1
Rent_130,733.0,933.0,1157.0,1175.0,1001.0,2018,Province4,centre6,Zone28,Neighbourhood63,Dwelling2
Rent_131,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone29,Neighbourhood64,Dwelling1
Rent_132,530.0,697.0,718.0,866.0,715.0,2018,Province4,centre6,Zone29,Neighbourhood64,Dwelling2
Rent_133,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone29,Neighbourhood65,Dwelling1
Rent_134,0.0,837.0,801.0,931.0,823.0,2018,Province4,centre6,Zone29,Neighbourhood65,Dwelling2
Rent_135,0.0,0.0,0.0,890.0,890.0,2018,Province4,centre6,Zone30,Neighbourhood66,Dwelling1
Rent_136,519.0,671.0,754.0,1049.0,789.0,2018,Province4,centre6,Zone30,Neighbourhood66,Dwelling2
Rent_137,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone31,Neighbourhood67,Dwelling1
Rent_138,818.0,1200.0,0.0,2514.0,0.0,2018,Province4,centre6,Zone31,Neighbourhood67,Dwelling2
Rent_139,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone31,Neighbourhood68,Dwelling1
Rent_140,609.0,748.0,918.0,1052.0,808.0,2018,Province4,centre6,Zone31,Neighbourhood68,Dwelling2
Rent_141,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone31,Neighbourhood69,Dwelling1
Rent_142,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone31,Neighbourhood69,Dwelling2
Rent_143,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone31,Neighbourhood70,Dwelling1
Rent_144,567.0,850.0,1224.0,1459.0,1039.0,2018,Province4,centre6,Zone31,Neighbourhood70,Dwelling2
Rent_145,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone32,Neighbourhood71,Dwelling1
Rent_146,602.0,768.0,963.0,1319.0,865.0,2018,Province4,centre6,Zone32,Neighbourhood71,Dwelling2
Rent_147,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone32,Neighbourhood72,Dwelling1
Rent_148,0.0,942.0,1289.0,0.0,1168.0,2018,Province4,centre6,Zone32,Neighbourhood72,Dwelling2
Rent_149,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone32,Neighbourhood73,Dwelling1
Rent_150,0.0,848.0,1076.0,1324.0,996.0,2018,Province4,centre6,Zone32,Neighbourhood73,Dwelling2
Rent_151,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone33,Neighbourhood74,Dwelling1
Rent_152,753.0,887.0,1059.0,1481.0,965.0,2018,Province4,centre6,Zone33,Neighbourhood74,Dwelling2
Rent_153,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone34,Neighbourhood75,Dwelling1
Rent_154,469.0,584.0,626.0,0.0,604.0,2018,Province4,centre6,Zone34,Neighbourhood75,Dwelling2
Rent_155,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone34,Neighbourhood76,Dwelling1
Rent_156,555.0,622.0,823.0,0.0,761.0,2018,Province4,centre6,Zone34,Neighbourhood76,Dwelling2
