Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Units_ID
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Outremont,Apt & Other,141.0,984.0,2207.0,854.0,4186.0,2018,centre6,Zone32,Units_148
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Mont-Royal,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,Units_149
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Mont-Royal,Apt & Other,56.0,841.0,946.0,152.0,1995.0,2018,centre6,Zone32,Units_150
Que,Montréal,Plateau-Mont-Royal,Plateau-Mont-Royal,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone33,Units_151
Que,Montréal,Plateau-Mont-Royal,Plateau-Mont-Royal,Apt & Other,8330.0,11204.0,16608.0,4146.0,40288.0,2018,centre6,Zone33,Units_152
Que,Montréal,Villeray/St-Michel/Pc-Extension,Parc-Extension,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone34,Units_153
Que,Montréal,Villeray/St-Michel/Pc-Extension,Parc-Extension,Apt & Other,1497.0,2792.0,4688.0,853.0,9830.0,2018,centre6,Zone34,Units_154
Que,Montréal,Villeray/St-Michel/Pc-Extension,Villeray,Row,0.0,4.0,0.0,1.0,5.0,2018,centre6,Zone34,Units_155
Que,Montréal,Villeray/St-Michel/Pc-Extension,Villeray,Apt & Other,1531.0,4659.0,9732.0,2022.0,17944.0,2018,centre6,Zone34,Units_156
Que,Montréal,Villeray/St-Michel/Pc-Extension,Saint-Michel,Row,0.0,3.0,1.0,2.0,6.0,2018,centre6,Zone34,Units_157
Que,Montréal,Villeray/St-Michel/Pc-Extension,Saint-Michel,Apt & Other,1012.0,2565.0,8220.0,1001.0,12798.0,2018,centre6,Zone34,Units_158
