ID,Province,Centres,Zones,Neighbourhood,Year,Centre_id,Zone_id,AR Bachelor,AR 1 Bedroom,AR 2 Bedroom,AR 3 Bedroom +,AR Total,VR Bachelor,VR 1 Bedroom,VR 2 Bedroom,VR 3 Bedroom +,VR Total,Units Bachelor,Units 1 Bedroom,Units 2 Bedroom,Units 3 Bedroom +,Units Total
ID_114,Que,Saguenay,North Sector,Northern Outskirts,2018,centre5,Zone24,0.0,440.0,487.0,602.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,224.0,75.0,337.0
ID_115,Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,2018,centre5,Zone25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_116,Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,2018,centre5,Zone25,441.0,479.0,576.0,607.0,530.0,0.0,0.0,0.0,0.0,3.2,154.0,889.0,1733.0,333.0,3109.0
ID_117,Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,2018,centre5,Zone25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0
ID_118,Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,2018,centre5,Zone25,435.0,503.0,675.0,704.0,643.0,0.0,0.0,5.0,0.0,5.9,41.0,563.0,2359.0,418.0,3381.0
ID_119,Que,Saguenay,Jonquière,Jonquière Downtown,2018,centre5,Zone26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_120,Que,Saguenay,Jonquière,Jonquière Downtown,2018,centre5,Zone26,429.0,461.0,571.0,688.0,558.0,0.0,0.0,0.0,0.0,4.9,62.0,418.0,1616.0,257.0,2353.0
ID_121,Que,Saguenay,Jonquière,Jonquière,2018,centre5,Zone26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,4.0,24.0
ID_122,Que,Saguenay,Jonquière,Jonquière,2018,centre5,Zone26,389.0,469.0,635.0,766.0,619.0,0.0,4.7,0.0,0.0,0.0,89.0,660.0,2250.0,505.0,3504.0
ID_123,Que,Saguenay,Jonquière,Southern Outskirts,2018,centre5,Zone26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
